"KodeUnit","KT","Inisial","NoInput","Tanggal","Nama","Alamat","Ket","RekKB","NoUrut","KdBud","kdAfd","Norek","Netral","Kdblok","Uraian","Nilai","Jml_Fisik","KdArus","TglKom","namauser","thntnm","KMK","Waktu","NoFaktur","IDPembeli","BiayaBank",
"29","KK","KAS","KAS202008-00007","07/08/2020 0:00:00","BAGIAN UMUM IHT PTPN VIII","BANDUNG","BIAYA OPERASIONAL BAGIAN UMUM IHT JULI 2020","100010000","001","02","02","426080000","","","BIAYA PEMBELIAN KEBUTUHAN RUTIN KANTOR IHT PTPN VIII BULAN JUNI 2020 SESUAI BUKTI TERLAMPIR SEBESAR","786000","0","K002","07/08/2020 9:49:03","bagja","","","","","","0",
"29","KK","KAS","KAS202008-00007","07/08/2020 0:00:00","BAGIAN UMUM IHT PTPN VIII","BANDUNG","BIAYA OPERASIONAL BAGIAN UMUM IHT JULI 2020","100010000","002","02","02","426040000","","","BIAYA PEMBAYARAN PEMBELIAN KEBUTUHAN KANTOR UMUM IHT PTPN VIII BULAN JULI 2020 SESUAI BUKTI TERLAMPIR SEBESAR","804000","0","K002","07/08/2020 9:49:03","bagja","","","","","","0",
"29","KK","KAS","KAS202008-00007","07/08/2020 0:00:00","BAGIAN UMUM IHT PTPN VIII","BANDUNG","BIAYA OPERASIONAL BAGIAN UMUM IHT JULI 2020","100010000","003","02","02","421040000","","","BIAYA PEMBAYARAN RETRIBUSI SAMPAH BULAN JULI 2020 SESUAI BUKTI TERLAMPIR SEBESAR","250000","0","K002","07/08/2020 9:49:03","bagja","","","","","","0",
"29","KK","KAS","KAS202008-00007","07/08/2020 0:00:00","BAGIAN UMUM IHT PTPN VIII","BANDUNG","BIAYA OPERASIONAL BAGIAN UMUM IHT JULI 2020","100010000","004","02","02","420030000","","","BIAYA PEMBAYARAN RETRIBUSI IURAN UMKM RW 12 PANYILEUKAN BULAN JULI 2020 SESUAI BUKTI TERLAMPIR SEBESAR","250000","0","K002","07/08/2020 9:49:03","bagja","","","","","","0",
"29","KK","KAS","KAS202008-00007","07/08/2020 0:00:00","BAGIAN UMUM IHT PTPN VIII","BANDUNG","BIAYA OPERASIONAL BAGIAN UMUM IHT JULI 2020","100010000","005","02","02","426080000","","","BIAYA PEMBAYARAN JAMUAN TAMU DINAS IHT PTPN VIII BULAN JULI 2020 SESUAI BUKTI TERLAMPIR SEBESAR","500000","0","K002","07/08/2020 9:49:03","bagja","","","","","","0",
"29","KK","KAS","KAS202008-00007","07/08/2020 0:00:00","BAGIAN UMUM IHT PTPN VIII","BANDUNG","BIAYA OPERASIONAL BAGIAN UMUM IHT JULI 2020","100010000","006","02","02","423050000","","","BIAYA PEBAYARAN KOORDNASI KEAMANAN BABINSA KORAMIL BULAN JULI 2020 SESUAI BUKTI TERLAMPIR SEBESAR","400000","0","K002","07/08/2020 9:49:03","bagja","","","","","","0",
"29","KT","KAS","KAS202008-00008","07/08/2020 0:00:00","BAGIAN UMUM IHT PTPN VIII","BANDUNG","PENERIMAAN PENGEMBALIAN UANG MUKA","100010000","001","02","02","146020000","","","PENERIMAAN PENGEMBALIAN UANG MUKA BAGIAN UMUM IHT PTPN VIII SESUAI BUKTI KAS202007-00033 TGL.22 JULI 2020 SESUAI BUKTI TERLAMPIR SEBESAR","750000","0","T005","07/08/2020 11:25:14","bagja","","","11:25:14","","","0",
"29","KK","KAS","KAS202008-00009","07/08/2020 0:00:00","BAGIAN UMUM IHT PTPN VIII","BANDUNG","BIAYA OPERASIONAL BAGIAN UMUM IHT JULI 2020","100010000","001","02","02","426080000","","","BIAYA PEMBAYARAN PEMBELIAN JAMUAN RAPAT DINAS IHT PTPN VIII BULAN JULI 2020 SESUAI BUKTI TERLAMPIR SEBESART","750000","0","K002","07/08/2020 11:33:44","bagja","","","","","","0",
"29","KT","KAS","KAS202008-00010","07/08/2020 0:00:00","BANK MANDIRI","BANDUNG - ASIA AFRIKA SELATAN N0.148","PENERIMAAN PENCAIRAN CEK OPERASIONAL IHT","100010000","001","02","02","198000000","","","PENERIMAAN PENCAIRAN CEK UNTUK OPERASIONAL RUTIN IHT PTPN VIII PERIODE MINGGU KE 1 BULAN AGUSTUS 2020 SESUAI BUKTI DAFTAR TERLAMPIR SEBESAR","12070000","0","T004","07/08/2020 13:19:57","bagja","","","13:19:57","","","0",
"29","KK","KAS","KAS202008-00011","07/08/2020 0:00:00","KARYAWAN IHT PTPN VIII","JL.PANYILEUKAN NO.1 - BANDUNG","BIAYA UANG MKAN TGL.03 S/D 7 AGUSTUS 2020","100010000","001","02","02","403210000","","","BIAYA PEMBAYARAN UANG MAKAN KARYAWAN PIMPINAN IHT PTPN VIII TGL.03 S/D 07 AGUSTUS 2020 SESUAI BUKTI TERLAMPIR SEBESAR","870000","0","K002","07/08/2020 14:03:08","bagja","","","","","","0",
"29","KK","KAS","KAS202008-00011","07/08/2020 0:00:00","KARYAWAN IHT PTPN VIII","JL.PANYILEUKAN NO.1 - BANDUNG","BIAYA UANG MKAN TGL.03 S/D 7 AGUSTUS 2020","100010000","002","02","02","404020000","","","BIAYA PEMBAYARAN UANG MAKAN KARYAWAN ADMINISTRASI UMUM IHT PTPN VIII TGL.03 S/D 07 AGUSTUS 2020 SESUAI BUKTI TERLAMPIR SEBESAR","810000","0","K002","07/08/2020 14:03:08","bagja","","","","","","0",
"29","KK","KAS","KAS202008-00011","07/08/2020 0:00:00","KARYAWAN IHT PTPN VIII","JL.PANYILEUKAN NO.1 - BANDUNG","BIAYA UANG MKAN TGL.03 S/D 7 AGUSTUS 2020","100010000","003","02","02","404020000","","","BIAYA PEMBAYARAN UANG MAKAN KARYAWAN PRODUKSI IHT PTPN VIII TGL.03 S/D 07 AGUSTUS 2020 SESUAI BUKTI TERLAMPIR SEBESAR","360000","0","K002","07/08/2020 14:03:08","bagja","","","","","","0",
"29","KK","KAS","KAS202008-00011","07/08/2020 0:00:00","KARYAWAN IHT PTPN VIII","JL.PANYILEUKAN NO.1 - BANDUNG","BIAYA UANG MKAN TGL.03 S/D 7 AGUSTUS 2020","100010000","004","02","02","404020000","","","BIAYA PEMBAYARAN UANG MAKAN KARYAWAN GUDANG PRODUKSI IHT PTPN VIII TGL.03 S/D 07 AGUSTUS 2020 SESUAI BUKTI TERLAMPIR SEBESAR","660000","0","K002","07/08/2020 14:03:08","bagja","","","","","","0",
"29","KK","KAS","KAS202008-00011","07/08/2020 0:00:00","KARYAWAN IHT PTPN VIII","JL.PANYILEUKAN NO.1 - BANDUNG","BIAYA UANG MKAN TGL.03 S/D 7 AGUSTUS 2020","100010000","005","02","02","404020000","","","BIAYA PEMBAYARAN UANG MAKAN KARYAWAN TEKNIK PRODUKSI IHT PTPN VIII TGL.03 S/D 07 AGUSTUS 2020 SESUAI BUKTI TERLAMPIR SEBESAR","555000","0","K002","07/08/2020 14:03:08","bagja","","","","","","0",
"29","KK","KAS","KAS202008-00011","07/08/2020 0:00:00","KARYAWAN IHT PTPN VIII","JL.PANYILEUKAN NO.1 - BANDUNG","BIAYA UANG MKAN TGL.03 S/D 7 AGUSTUS 2020","100010000","006","02","02","404020000","","","BIAYA PEMBAYARAN UANG MAKAN KARYAWAN PABRIK  PRODUKSI IHT PTPN VIII TGL.03 S/D 07 AGUSTUS 2020 SESUAI BUKTI TERLAMPIR SEBESAR","1620000","0","K002","07/08/2020 14:03:08","bagja","","","","","","0",
"29","KK","KAS","KAS202008-00011","07/08/2020 0:00:00","KARYAWAN IHT PTPN VIII","JL.PANYILEUKAN NO.1 - BANDUNG","BIAYA UANG MKAN TGL.03 S/D 7 AGUSTUS 2020","100010000","007","02","02","404020000","","","BIAYA PEMBAYARAN UANG MAKAN KARYAWAN DRIVER IHT PTPN VIII TGL.03 S/D 07 AGUSTUS 2020 SESUAI BUKTI TERLAMPIR SEBESAR","150000","0","K002","07/08/2020 14:03:08","bagja","","","","","","0",
